open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year
278.0,280.0,273.0,276.0,52178159.0,280.0,273.0,276.0,278.0,52977441.0,1.0,0.0,AAPL,XNAS,05-02-2026,02,2026
272.0,279.0,272.0,276.0,90458500.0,279.0,272.0,276.0,272.0,90545710.0,1.0,0.0,AAPL,XNAS,04-02-2026,02,2026
269.0,272.0,268.0,269.0,63714867.0,272.0,268.0,269.0,269.0,63799388.0,1.0,0.0,AAPL,XNAS,03-02-2026,02,2026
260.0,270.0,259.0,270.0,72890096.0,270.0,259.0,270.0,260.0,73913425.0,1.0,0.0,AAPL,XNAS,02-02-2026,02,2026
255.0,262.0,252.0,259.0,79605051.0,262.0,252.0,259.0,255.0,92443408.0,1.0,0.0,AAPL,XNAS,30-01-2026,01,2026
258.0,260.0,254.0,258.0,55636341.0,260.0,254.0,258.0,258.0,67253009.0,1.0,0.0,AAPL,XNAS,29-01-2026,01,2026
258.0,259.0,255.0,256.0,33041915.0,259.0,255.0,256.0,258.0,41287971.0,1.0,0.0,AAPL,XNAS,28-01-2026,01,2026
259.0,262.0,258.0,258.0,42113358.0,262.0,258.0,258.0,259.0,48787855.0,1.0,0.0,AAPL,XNAS,27-01-2026,01,2026
251.0,257.0,250.0,255.0,55448748.0,257.0,250.0,255.0,251.0,55969234.0,1.0,0.0,AAPL,XNAS,26-01-2026,01,2026
247.0,249.0,245.0,248.0,40981809.0,249.0,245.0,248.0,247.0,41688982.0,1.0,0.0,AAPL,XNAS,23-01-2026,01,2026
249.0,251.0,248.0,248.0,36743336.0,251.0,248.0,248.0,249.0,39708340.0,1.0,0.0,AAPL,XNAS,22-01-2026,01,2026
249.0,252.0,245.0,248.0,54151253.0,252.0,245.0,248.0,249.0,54641725.0,1.0,0.0,AAPL,XNAS,21-01-2026,01,2026
253.0,255.0,243.0,247.0,77475520.0,255.0,243.0,247.0,253.0,77280987.0,1.0,0.0,AAPL,XNAS,20-01-2026,01,2026
258.0,259.0,255.0,256.0,72018600.0,259.0,255.0,256.0,258.0,72142773.0,1.0,0.0,AAPL,XNAS,16-01-2026,01,2026
259.0,261.0,257.0,258.0,34022938.0,261.0,257.0,258.0,261.0,39388564.0,1.0,0.0,AAPL,XNAS,15-01-2026,01,2026
