open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
253.99,254.56,250.28,251.49,37465587.0,254.6,250.28,251.49,253.97,40546109.0,1.0,0.0,AAPL,XNAS,2026-03-23T00:00:00+0000
248.11,249.1999,246.0,247.99,87981315.0,249.1999,246.0,247.99,247.975,88331081.0,1.0,0.0,AAPL,XNAS,2026-03-20T00:00:00+0000
249.4,251.83,247.3,248.96,34568663.0,251.83,247.3,248.96,249.4,34864082.0,1.0,0.0,AAPL,XNAS,2026-03-19T00:00:00+0000
252.625,254.94,249.0,249.94,34652568.0,254.94,249.0,249.94,252.625,35757874.0,1.0,0.0,AAPL,XNAS,2026-03-18T00:00:00+0000
253.0785,255.1299,252.18,254.23,27556024.0,255.13,252.18,254.23,252.955,32361607.0,1.0,0.0,AAPL,XNAS,2026-03-17T00:00:00+0000
252.105,253.885,249.88,252.82,30091880.0,253.885,249.88,252.82,252.105,32074209.0,1.0,0.0,AAPL,XNAS,2026-03-16T00:00:00+0000
255.4,256.33,249.52,250.12,34193754.0,256.33,249.52,250.12,255.48,36929988.0,1.0,0.0,AAPL,XNAS,2026-03-13T00:00:00+0000
258.64,258.95,254.18,255.76,40132517.0,258.95,254.18,255.76,258.66,40794020.0,1.0,0.0,AAPL,XNAS,2026-03-12T00:00:00+0000
261.09,262.13,259.55,260.81,26131800.0,262.13,259.55,260.81,261.09,26218927.0,1.0,0.0,AAPL,XNAS,2026-03-11T00:00:00+0000
257.695,262.48,256.95,260.83,26403306.0,262.48,256.95,260.83,257.645,30590765.0,1.0,0.0,AAPL,XNAS,2026-03-10T00:00:00+0000
255.69,261.15,253.6805,259.88,37958303.0,261.15,253.6805,259.88,255.69,38218533.0,1.0,0.0,AAPL,XNAS,2026-03-09T00:00:00+0000
258.74,258.76,254.37,257.46,40628988.0,258.77,254.37,257.46,258.63,41120042.0,1.0,0.0,AAPL,XNAS,2026-03-06T00:00:00+0000
260.745,261.555,257.25,260.29,49424671.0,261.555,257.25,260.29,260.79,49658626.0,1.0,0.0,AAPL,XNAS,2026-03-05T00:00:00+0000
264.65,266.15,261.42,262.52,39258957.0,266.15,261.42,262.52,264.65,39803119.0,1.0,0.0,AAPL,XNAS,2026-03-04T00:00:00+0000
263.48,265.56,260.13,263.75,37994695.0,265.56,260.13,263.75,263.48,38568921.0,1.0,0.0,AAPL,XNAS,2026-03-03T00:00:00+0000
262.44,266.53,260.2,264.72,41576035.0,266.53,260.2,264.72,262.41,41827946.0,1.0,0.0,AAPL,XNAS,2026-03-02T00:00:00+0000
272.81,272.81,262.89,264.18,72239400.0,272.81,262.89,264.18,272.81,72366505.0,1.0,0.0,AAPL,XNAS,2026-02-27T00:00:00+0000
274.955,276.11,270.795,272.95,32123760.0,276.11,270.795,272.95,274.945,32345114.0,1.0,0.0,AAPL,XNAS,2026-02-26T00:00:00+0000
271.78,274.94,271.05,274.23,33627000.0,274.94,271.05,274.23,271.78,33714342.0,1.0,0.0,AAPL,XNAS,2026-02-25T00:00:00+0000
268.0,274.89,267.74,272.14,46710423.0,274.89,267.71,272.14,267.86,47014619.0,1.0,0.0,AAPL,XNAS,2026-02-24T00:00:00+0000
263.49,269.43,263.381,266.18,34926242.0,269.43,263.381,266.18,263.49,37308155.0,1.0,0.0,AAPL,XNAS,2026-02-23T00:00:00+0000
258.955,264.75,258.16,264.58,36884993.0,264.75,258.16,264.58,258.97,42070499.0,1.0,0.0,AAPL,XNAS,2026-02-20T00:00:00+0000
262.6,264.48,260.05,260.58,30716500.0,264.48,260.05,260.58,262.6,30845294.0,1.0,0.0,AAPL,XNAS,2026-02-19T00:00:00+0000
263.5,266.82,262.45,264.35,33598417.0,266.82,262.45,264.35,263.6,34203337.0,1.0,0.0,AAPL,XNAS,2026-02-18T00:00:00+0000
258.05,266.29,255.54,263.88,58081661.0,266.29,255.54,263.88,258.05,58469094.0,1.0,0.0,AAPL,XNAS,2026-02-17T00:00:00+0000
262.01,262.23,255.45,255.78,56229900.0,262.23,255.45,255.78,262.01,56290673.0,1.0,0.0,AAPL,XNAS,2026-02-13T00:00:00+0000
275.6,275.72,260.18,261.73,71430852.0,275.72,260.18,261.73,275.59,81077229.0,1.0,0.0,AAPL,XNAS,2026-02-12T00:00:00+0000
274.695,280.18,274.45,275.5,51915838.0,280.18,274.45,275.5,274.695,51931283.0,1.0,0.0,AAPL,XNAS,2026-02-11T00:00:00+0000
